drug_name,drug_id,ind_name,ind_id,status,phase,DetailedStatus,prior_repurposing_count,dc_struct_id,dc_approval_date,established_product,why_stopped_classification,label,split
Lepirudin,DB00001,Heparin-induced thrombocytopenia with thrombosis,C0272275,Approved,,,0,2990,2003-04-04,True,,original-approval,confirmation
Cetuximab,DB00002,Squamous cell carcinoma of mouth,C0585362,Approved,,,4,4954,2004-02-12,True,,repurposed-success,confirmation
Cetuximab,DB00002,Squamous cell carcinoma of nose,C3163899,Approved,,,4,4954,2004-02-12,True,,repurposed-success,confirmation
Cetuximab,DB00002,Squamous cell carcinoma of pharynx,C1319317,Approved,,,4,4954,2004-02-12,True,,repurposed-success,confirmation
Cetuximab,DB00002,Laryngeal Squamous Cell Carcinoma,C0280324,Approved,,,4,4954,2004-02-12,True,,repurposed-success,confirmation
Cetuximab,DB00002,Malignant tumor of colon,C0007102,Approved,,,4,4954,2004-02-12,True,,repurposed-success,confirmation
Dornase alfa,DB00003,Cystic Fibrosis,C0010674,Approved,,,0,5135,1993-12-30,True,,original-approval,discovery
Denileukin diftitox,DB00004,"Lymphoma, T-Cell, Cutaneous",C0079773,Approved,,,0,5087,1999-02-05,True,,original-approval,discovery
Etanercept,DB00005,Rheumatoid Arthritis,C0003873,Approved,,,4,4978,1998-11-02,True,,repurposed-success,discovery
Etanercept,DB00005,Juvenile arthritis,C3495559,Approved,,,4,4978,1998-11-02,True,,repurposed-success,discovery
Etanercept,DB00005,"Arthritis, Psoriatic",C0003872,Approved,,,4,4978,1998-11-02,True,,repurposed-success,discovery
Etanercept,DB00005,Ankylosing spondylitis,C0038013,Approved,,,4,4978,1998-11-02,True,,repurposed-success,discovery
Etanercept,DB00005,Chronic small plaque psoriasis,C0406317,Approved,,,4,4978,1998-11-02,True,,repurposed-success,discovery
Leuprolide,DB00007,Precocious Puberty,C0034013,Approved,,,1,1559,1985-04-09,True,,repurposed-success,confirmation
Leuprolide,DB00007,Endometriosis,C0014175,Approved,,,1,1559,1985-04-09,True,,repurposed-success,confirmation
Peginterferon alfa-2a,DB00008,"Hepatitis C, Chronic",C0524910,Approved,,,1,5158,2002-10-16,True,,repurposed-success,discovery
Peginterferon alfa-2a,DB00008,"Hepatitis B, Chronic",C0524909,Approved,,,1,5158,2002-10-16,True,,repurposed-success,discovery
Alteplase,DB00009,Ischemic stroke,C0948008,Approved,,,2,5141,1996-06-18,True,,repurposed-success,confirmation
Alteplase,DB00009,Acute myocardial infarction,C0155626,Approved,,,2,5141,1996-06-18,True,,repurposed-success,confirmation
Alteplase,DB00009,Pulmonary Embolism,C0034065,Approved,,,2,5141,1996-06-18,True,,repurposed-success,confirmation
Sermorelin,DB00010,Pituitary dwarfism,C0013338,Approved,,,0,2433,1990-12-28,True,,original-approval,confirmation
Urokinase,DB00013,Pulmonary Embolism,C0034065,Approved,,,0,5109,,False,,original-approval,confirmation
Goserelin,DB00014,Hormone receptor positive malignant neoplasm of breast,C1562029,Approved,,,1,1327,1989-12-29,True,,repurposed-success,discovery
Goserelin,DB00014,Endometriosis,C0014175,Approved,,,1,1327,1989-12-29,True,,repurposed-success,discovery
Reteplase,DB00015,Acute myocardial infarction,C0155626,Approved,,,0,5044,1996-10-30,True,,original-approval,discovery
Erythropoietin,DB00016,Anemia in chronic kidney disease,C1561828,Approved,,,1,5007,2009-10-29,True,,repurposed-success,confirmation
Erythropoietin,DB00016,Anemia due to chemotherapy,C1998329,Approved,,,1,5007,2009-10-29,True,,repurposed-success,confirmation
Salmon Calcitonin,DB00017,"Osteoporosis, Postmenopausal",C0029458,Approved,,,1,2989,1978-04-17,True,,repurposed-success,discovery
Salmon Calcitonin,DB00017,Osteitis Deformans,C0029401,Approved,,,1,2989,1978-04-17,True,,repurposed-success,discovery
Pegfilgrastim,DB00019,Chemotherapy-induced neutropenia,C1827687,Approved,,,0,4986,2002-01-31,True,,original-approval,discovery
Sargramostim,DB00020,Chemotherapy-induced neutropenia,C1827687,Approved,,,0,5025,1991-03-05,True,,original-approval,discovery
Peginterferon alfa-2b,DB00022,"Hepatitis C, Chronic",C0524910,Approved,,,0,5164,2001-01-19,True,,original-approval,discovery
Asparaginase,DB00023,Acute lymphocytic leukemia,C0023449,Approved,,,0,5070,1994-02-01,True,,original-approval,discovery
Anakinra,DB00026,Rheumatoid Arthritis,C0003873,Approved,,,2,5017,2001-11-14,True,,repurposed-success,confirmation
Anakinra,DB00026,Cryopyrin-Associated Periodic Syndromes,C2316212,Approved,,,2,5017,2001-11-14,True,,repurposed-success,confirmation
Anakinra,DB00026,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome",C0409818,Approved,,,2,5017,2001-11-14,True,,repurposed-success,confirmation
Gramicidin D,DB00027,Bacterial conjunctivitis,C0009768,Approved,,,3,4794,1968-07-03,True,,repurposed-success,discovery
Gramicidin D,DB00027,Infective blepharitis,C0729587,Approved,,,3,4794,1968-07-03,True,,repurposed-success,discovery
Gramicidin D,DB00027,Blepharoconjunctivitis,C0005743,Approved,,,3,4794,1968-07-03,True,,repurposed-success,discovery
Gramicidin D,DB00027,Bacterial keratitis,C0854211,Approved,,,3,4794,1968-07-03,True,,repurposed-success,discovery
Insulin Human,DB00030,"Diabetes Mellitus, Insulin-Dependent",C0011854,Approved,,,2,5057,2004-04-16,True,,repurposed-success,discovery
Insulin Human,DB00030,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,Approved,,,2,5057,2004-04-16,True,,repurposed-success,discovery
