drug_name,drug_id,ind_name,ind_id,status,phase,DetailedStatus
Fluorouracil,DB00544,Adenocarcinoma of pancreas,C0281361,Approved,,
Fluorouracil,DB00544,Malignant tumor of colon,C0007102,Approved,,
Fluorouracil,DB00544,Superficial basal cell carcinoma,C0862889,Approved,,
Fluorouracil,DB00544,Metastasis from malignant tumor of colon,C1282500,Approved,,
Fluorouracil,DB00544,Actinic keratosis,C0022602,Approved,,
Fluorouracil,DB00544,Carcinoma breast stage IV,C0278488,Approved,,
Fluorouracil,DB00544,Malignant neoplasm of stomach,C0024623,Approved,,
Testosterone,DB00624,Primary hypogonadism,C0948896,Approved,,
Testosterone,DB00624,Hypogonadotropic hypogonadism,C0271623,Approved,,
Testosterone,DB00624,Cryptorchidism,C0010417,Approved,,
Testosterone,DB00624,Klinefelter Syndrome,C0022735,Approved,,
Testosterone,DB00624,Delayed Puberty,C0034012,Approved,,
Testosterone,DB00624,Testicular hypogonadism,C0151721,Approved,,
Testosterone,DB00624,Deficiency of testosterone biosynthesis,C0342527,Approved,,
Testosterone,DB00624,Hormone receptor positive malignant neoplasm of breast,C1562029,Approved,,
Testosterone,DB00624,Hot flushes,C0600142,Approved,,
Testosterone,DB00624,Hypopituitarism,C0020635,Approved,,
Leucovorin,DB00650,Poisoning by pyrimethamine,C0274478,Approved,,
Leucovorin,DB00650,Methotrexate poisoning,C0568062,Approved,,
Leucovorin,DB00650,"Anemia, Megaloblastic",C0002888,Approved,,
Leucovorin,DB00650,Folic Acid Deficiency,C0016412,Approved,,
Leucovorin,DB00650,Poisoning by sulfadiazine,C0274462,Approved,,
Naltrexone,DB00704,Drug-induced constipation,C0267511,Approved,,
Naltrexone,DB00704,Chronic pain,C0150055,Approved,,
Naltrexone,DB00704,"Alcoholic Intoxication, Chronic",C0001973,Approved,,
Naltrexone,DB00704,Severe pain,C0278140,Approved,,
Naltrexone,DB00704,Obesity,C0028754,Approved,,
Hydrocortisone,DB00741,Blepharoconjunctivitis,C0005743,Approved,,
Hydrocortisone,DB00741,Bacterial keratitis,C0854211,Approved,,
Hydrocortisone,DB00741,Cerebral Edema,C0006114,Approved,,
Hydrocortisone,DB00741,Rheumatic Heart Disease,C0035439,Approved,,
Hydrocortisone,DB00741,Laryngeal Edema,C0023052,Approved,,
Hydrocortisone,DB00741,Nephrotic Syndrome,C0027726,Approved,,
Hydrocortisone,DB00741,Recurrent herpes simplex labialis,C1274321,Approved,,
Hydrocortisone,DB00741,Corneal abrasion,C0010032,Approved,,
Hydrocortisone,DB00741,Crohn Disease,C0010346,Approved,,
Hydrocortisone,DB00741,Proctitis,C0033246,Approved,,
Hydrocortisone,DB00741,Lichen Simplex Chronicus,C0149922,Approved,,
Hydrocortisone,DB00741,"Lupus Erythematosus, Systemic",C0024141,Approved,,
Hydrocortisone,DB00741,Rheumatoid Arthritis,C0003873,Approved,,
Hydrocortisone,DB00741,Transplanted organ rejection,C0345468,Approved,,
Hydrocortisone,DB00741,Uveitis,C0042164,Approved,,
Hydrocortisone,DB00741,Inflammatory Bowel Diseases,C0021390,Approved,,
Hydrocortisone,DB00741,Keratitis,C0022568,Approved,,
Hydrocortisone,DB00741,Infective blepharitis,C0729587,Approved,,
